PROJECT_NAME,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,LOCATION,STATE,EVENT_DATE_1,EVENT_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun,CostOverrun,EVENT_DATE_2,EVENT_2,EVENT_DATE_ORIG,MonthDifference,NoOfDays,EVENT_DATE_3
Vijayawada-Chilkaluripet (Package IV) Highway Project,New Unit,580,Completed,"Engineering, Procurement & Construction",May 2002,Chilkaluripet,Andhra Pradesh,01 Apr 1999,Date of announcement,2002-01-01,580,115.2,464.8,Y,2002-05-31,Initial completion date,2002-05-31,N,,1999-05-15
Eluru-Vijaywada Highway including Eluru bypass Project,Substantial Expansion,3353.5,Completed,"Engineering, Procurement & Construction",January 2002,Eluru,Andhra Pradesh,01 Mar 1997,Bids invited,2000-01-01,3353.5,1350,2003.5,Y,2002-06-30,Initial completion date,2002-01-31,Y,150,1997-11-17
Gandhidham-Samakhiali (PackII) Port Connectivity Highway Project,Substantial Expansion,674,Completed,"Engineering, Procurement & Construction",July 2002,Gandhidham,Gujarat,01 Apr 1999,Date of announcement,2002-01-01,674,880,-206,N,2002-07-31,Completed,2001-05-31,Y,426,1999-05-15
Ghaziabad-Hapur Highway & Hapur Bypass Project,Substantial Expansion,1060,Completed,"Engineering, Procurement & Construction",August 2002,Ghaziabad,Uttar Pradesh,01 Mar 1999,Date of announcement,2002-07-01,1060,1000,60,Y,2002-08-13,Completed,2002-03-31,Y,135,1999-04-10
Hathipali-Hosur(NS/11) Highway Project,Substantial Expansion,470,Completed,"Engineering, Procurement & Construction",August 2002,Hathipalli,Karnataka,01 Dec 1998,Date of announcement,2002-01-01,470,400,70,Y,2002-08-31,Completed,2001-12-31,Y,243,1999-12-15
Lucknow-Kanpur Section(EW/2) Highway Project,Substantial Expansion,330,Completed,"Engineering, Procurement & Construction",August 2002,Kanpur,Uttar Pradesh,01 Sep 1999,Date of announcement,2001-07-01,330,330,0,N,2002-08-31,Completed,2001-10-31,Y,304,2000-02-08
Karur Bypass including additional bridge across river Amrawati Project,New Unit,460.3,Completed,"Engineering, Procurement & Construction",September 2002,Karur,Tamil Nadu,01 Sep 1998,Date of announcement,2002-01-01,460.3,100,360.3,Y,2002-09-30,Completed,2001-11-30,Y,304,1999-08-16
Karur ROB Project,New Unit,121.5,Completed,"Engineering, Procurement & Construction",September 2002,Karur,Tamil Nadu,15 May 1999,Date of announcement,2001-09-01,121.5,121.5,0,N,2002-09-30,Completed,2002-05-31,Y,122,1999-07-01
Chandikhol-Jagatpur Highway Project,Substantial Expansion,1033.5,Completed,"Engineering, Procurement & Construction",January 2003,Chandikhol,Odisha,01 Sep 1998,Date of announcement,2003-01-01,1033.5,1370,-336.5,N,2003-01-31,Completed,2002-12-31,Y,31,2000-02-01
MP/Raj border-Sarai Cholla (NS/6) Highway Project,Substantial Expansion,282.7,Completed,"Engineering, Procurement & Construction",January 2003,Madhya Pradesh,Madhya Pradesh,01 Jun 2000,Date of announcement,2002-01-01,282.7,280,2.7,Y,2003-01-31,Completed,2001-12-31,Y,396,2000-07-15
Salem Bypass(NS/12) Highway Project,New Unit,269.4,Completed,"Engineering, Procurement & Construction",January 2003,Salem,Tamil Nadu,01 Mar 1999,Date of announcement,2002-03-31,269.4,330,-60.6,N,2003-01-31,Completed,2001-06-30,Y,580,1999-12-01
Thondapalli to Farukhanagar  (NS/9) Project,Substantial Expansion,280,Completed,"Engineering, Procurement & Construction",January 2003,Farukhnagar,Telangana,31 Jan 1999,Date of announcement,2002-01-01,280,280,0,N,2003-01-31,Completed,2001-06-30,Y,580,1999-05-18
Vijaywada-Chilkaluripet (PackageII) Highway Project,Substantial Expansion,800,Completed,"Engineering, Procurement & Construction",January 2003,Chilkaluripet,Andhra Pradesh,01 Mar 1999,Date of announcement,2002-01-01,800,1280,-480,N,2003-01-31,Completed,2002-03-31,Y,306,1999-03-15
Vijaywada-Chilkaluripet (PackageIII) Highway Project,Substantial Expansion,680,Completed,"Engineering, Procurement & Construction",January 2003,Chilkaluripet,Andhra Pradesh,01 Mar 1999,Date of announcement,2002-01-01,680,951.2,-271.2,N,2003-01-31,Completed,2002-03-31,Y,306,1999-03-15
Vijaywada-Chilkaluripet(Package I) Highway Project,Substantial Expansion,600,Completed,"Engineering, Procurement & Construction",January 2003,Chilkaluripet,Andhra Pradesh,01 Feb 1999,Date of announcement,2002-01-01,600,2270,-1670,N,2003-01-31,Completed,2002-03-31,Y,306,1999-03-15
Gondal-Ribda Section(EW-10/GJ) Highway Project,Substantial Expansion,405,Completed,"Engineering, Procurement & Construction",January 2003,Gondal,Gujarat,01 Mar 2001,Date of announcement,2002-01-01,405,680,-275,N,2003-05-31,Initial completion date,2003-01-31,Y,120,2001-09-15
Palanpur-Dessa(EW-11/GJ) Highway Project,Substantial Expansion,537.3,Completed,"Engineering, Procurement & Construction",February 2003,Dessa,Gujarat,01 Jun 2001,Date of announcement,2002-01-01,537.3,908,-370.7,N,2003-07-31,Initial completion date,2003-02-28,Y,153,2001-08-15
Westerly Diversion Highway Project,Substantial Expansion,1515.6,Completed,"Engineering, Procurement & Construction",November 2003,Pune,Maharashtra,01 Jun 1999,Date of announcement,2003-07-01,1515.6,1200,315.6,Y,2003-11-15,Completed,2002-08-31,Y,441,2000-05-16
Guwahati Bypass(EW/7) Highway Project__,New Unit,548.7,Completed,"Engineering, Procurement & Construction",December 2003,Guwahati,Assam,01 Jun 2000,Date of announcement,2002-01-01,548.7,548.7,0,N,2003-12-31,Initial completion date,2002-06-30,Y,549,2000-06-15
Rajahmundry-Eluru(Gowthami-Gundugolanu) Highway Project,Substantial Expansion,3233.5,Completed,"Engineering, Procurement & Construction",February 2004,Eluru,Andhra Pradesh,01 Mar 2001,Date of announcement,2002-01-01,3233.5,3400,-166.5,N,2004-02-29,Completed,2003-10-31,Y,121,2001-08-01
Pune-Satara (Sarole-Wathar PS-2) Highway Project,Substantial Expansion,1189.3,Completed,"Engineering, Procurement & Construction",December 2003,Sarole,Maharashtra,01 Mar 2001,Date of announcement,2001-12-01,1189.3,1189.3,0,N,2004-03-31,Initial completion date,2003-12-31,Y,91,2001-11-01
Kishangarh-Udaipur(Chittorgarh-Mangalwar) Highway Project,Substantial Expansion,1612,Completed,"Engineering, Procurement & Construction",February 2004,Chittaurgarh,Rajasthan,01 Jun 2001,Date of announcement,2002-01-01,1612,2080,-468,N,2004-03-31,Initial completion date,2004-02-11,Y,49,2001-10-05
Kishangarh-Udaipur(Nasirabad-Gulabpura) Highway Project,Substantial Expansion,1820.9,Completed,"Engineering, Procurement & Construction",February 2004,Gulabpura,Rajasthan,01 Jun 2001,Date of announcement,2002-01-01,1820.9,4240,-2419.1,N,2004-03-31,Initial completion date,2004-02-11,Y,49,2001-08-31
Udaipur-Ratanpur-Chiloda(Udaipur-Kesariaji (UG-I)) Highway Project,Substantial Expansion,2459,Completed,"Engineering, Procurement & Construction",January 2004,Kesariaji,Rajasthan,01 Sep 2001,Date of announcement,2001-09-01,2459,2459,0,N,2004-03-31,Initial completion date,2004-01-31,Y,60,2001-10-15
Dalkhola-Islampur (EW/5) Highway Project,Substantial Expansion,725.6,Completed,"Engineering, Procurement & Construction",March 2004,Dalkhola,West Bengal,15 Oct 1999,Date of announcement,2003-07-01,725.6,730,-4.4,N,2004-03-31,Completed,2002-03-31,Y,731,1999-12-01
Krishnagiri-Chennai(Walahjapet-Kanchipuram) Highway Project,Substantial Expansion,1300,Completed,"Engineering, Procurement & Construction",March 2004,Kanchipuram,Tamil Nadu,01 Jun 2001,Date of announcement,2002-01-01,1300,1440,-140,N,2004-03-31,Initial completion date,2004-01-31,Y,60,2001-09-01
Ratanpur-Himatnagar NH-8 Four Lane Highway Project,Substantial Expansion,1822.9,Completed,"Engineering, Procurement & Construction",December 2003,Himatnagar,Gujarat,01 Mar 2001,Date of announcement,2002-01-01,1822.9,2200,-377.1,N,2004-04-30,Initial completion date,2003-12-31,Y,121,2001-11-01
Kishangarh-Udaipur(Bhilwara Bypass-Chittorgarh) High. Project,Substantial Expansion,2028.8,Completed,"Engineering, Procurement & Construction",April 2004,Bhilwara Section,Rajasthan,01 Jun 2001,Date of announcement,2002-01-01,2028.8,2640,-611.2,N,2004-05-31,Initial completion date,2003-12-31,Y,152,2001-08-31
Aluva-Angamali(NS-28/KL) NH47 Highway Project,Substantial Expansion,773.8,Completed,"Engineering, Procurement & Construction",April 2004,Aluva,Kerala,01 Mar 2001,Date of announcement,2002-01-01,773.8,780,-6.2,N,2004-06-30,Initial completion date,2003-05-31,Y,396,2001-09-01
Hosur-Krishnagiri Four Lane Highway Project,Substantial Expansion,2130,Completed,"Engineering, Procurement & Construction",February 2004,Hosur,Tamil Nadu,01 Jun 1997,Date of announcement,2002-01-01,2130,1500,630,Y,2004-06-30,Initial completion date,2004-02-09,Y,142,2001-06-11
Guwahati Bypass(EW-14/AS) Highway Project,New Unit,636.9,Completed,"Engineering, Procurement & Construction",June 2004,Guwahati,Assam,01 May 2001,Date of announcement,2004-04-01,636.9,420,216.9,Y,2004-06-30,Completed,2003-01-31,Y,516,2001-09-15
Jalandhar Bypass(NS/1) Project,New Unit,890,Completed,"Engineering, Procurement & Construction",June 2004,Jalandhar,Punjab,01 May 1999,Date of announcement,2004-04-01,890,634.6,255.4,Y,2004-06-30,Completed,2002-05-31,Y,761,1999-05-19
Sarai Cholla-Morena (NS-20/MP) Highway Project,Substantial Expansion,514.2,Completed,"Engineering, Procurement & Construction",August 2004,Morena,Madhya Pradesh,01 May 2001,Date of announcement,2004-04-01,514.2,600,-85.8,N,2004-08-31,Completed,2003-04-30,Y,489,2001-09-01
Bhogpur to Jalandhar (NS-16/PB) Highway Project,Substantial Expansion,711.8,Completed,"Engineering, Procurement & Construction",October 2004,Bhogpur,Punjab,01 Mar 2001,Date of announcement,2003-01-01,711.8,715,-3.2,N,2004-10-31,Completed,2003-07-31,Y,458,2001-08-01
Khaga-Varanasi(Khaga-Kokhraj) Highway Project,Substantial Expansion,1517,Completed,"Engineering, Procurement & Construction",January 2005,Khaga,Uttar Pradesh,01 Jan 2001,Bids invited,2002-01-01,1517,1790,-273,N,2005-01-31,Completed,2004-06-30,Y,215,2001-01-31
Mangalwar-Udaipur (KU-VI) Highway Project,Substantial Expansion,1738,Completed,"Engineering, Procurement & Construction",January 2005,Mangalwar,Rajasthan,01 Jun 2001,Date of announcement,2004-03-31,1738,2400,-662,N,2005-01-31,Completed,2003-12-31,Y,397,2001-11-01
Raj/UP border-Mania (NS-19/UP/RJ) Highway Project,Substantial Expansion,760,Completed,"Engineering, Procurement & Construction",January 2005,Mania,Rajasthan,01 Mar 2001,Date of announcement,2001-09-01,760,760,0,N,2005-01-31,Completed,2003-05-31,Y,611,2001-08-01
Jaipur Bypass Phase 2 Project,Substantial Expansion,2730,Completed,"Engineering, Procurement & Construction",March 2005,Jaipur,Rajasthan,30 Oct 2000,Date of announcement,2000-10-30,2730,2730,0,N,2005-03-31,Completed,2004-03-31,Y,365,2001-12-16
Lucknow-Kanpur Section(EW-9/UP) Highway Project,Substantial Expansion,500.2,Completed,"Engineering, Procurement & Construction",March 2005,Kanpur,Uttar Pradesh,01 Aug 2001,Date of announcement,2003-01-01,500.2,500,0.2,Y,2005-03-31,Completed,2003-04-30,Y,701,2001-09-15
Udaipur-Ratanpur-Chiloda(Kesariaji-Ratanpur) Highway Project,Substantial Expansion,2260.5,Completed,"Engineering, Procurement & Construction",March 2005,Kesariaji,Rajasthan,01 Mar 2001,Date of announcement,2002-01-01,2260.5,1920,340.5,Y,2005-03-31,Completed,2004-03-31,Y,365,2001-10-20
Kavali-Nellore (AP-11) Four/Six Lane Highway Project,Substantial Expansion,1810,Completed,"Engineering, Procurement & Construction",May 2005,Kavali,Andhra Pradesh,01 Mar 2001,Date of announcement,2002-01-01,1810,1760,50,Y,2005-10-31,Initial completion date,2003-07-31,Y,823,2001-05-01
Kolaghat-Kharagpur (WB-II) Highway Project,Substantial Expansion,3750,Completed,"Engineering, Procurement & Construction",October 2005,Kharagpur,West Bengal,15 Nov 2000,Bids invited,2002-01-01,3750,3920,-170,N,2005-10-31,Completed,2003-12-31,Y,670,2000-12-31
Krishnagiri-Chennai(Krishnagiri-Vaniyambadi) Highway Project,Substantial Expansion,1950,Completed,"Engineering, Procurement & Construction",October 2005,Krishnagiri,Tamil Nadu,01 Jun 2001,Date of announcement,2002-01-01,1950,1960,-10,N,2005-10-31,Completed,2003-12-31,Y,670,2001-11-01
Dalkhola-Islampore Subsection 2 (EW/6) Highway Project,Substantial Expansion,900.6,Completed,"Engineering, Procurement & Construction",November 2005,Dalkhola,West Bengal,01 Apr 2000,Date of announcement,2002-01-01,900.6,900,0.6,Y,2005-11-30,Completed,2002-07-31,Y,1218,2000-04-15
Varanasi-Aurangabad(Dehri on-sone--Aurangabad) Highway Project,Substantial Expansion,2426.1,Completed,"Engineering, Procurement & Construction",November 2005,Aurangabad,Bihar,31 Jan 2001,Date of announcement,2003-01-01,2426.1,2850,-423.9,N,2005-11-30,Completed,2004-06-30,Y,518,2001-02-16
Icchapuram-Vishakhapatnam(Korlam-Palasa AP-4A) Highway Project,Substantial Expansion,1351.1,Completed,"Engineering, Procurement & Construction",August 2005,Korlam,Andhra Pradesh,01 Mar 2001,Date of announcement,2002-01-01,1351.1,1210,141.1,Y,2005-12-31,Initial completion date,2004-01-31,Y,700,2001-06-30
Himatnagar-Chiloda (Near Ahmedabad) (UG-IV) Highway Project,New Unit,1750,Completed,"Engineering, Procurement & Construction",December 2005,Chiloda,Gujarat,01 Mar 2001,Date of announcement,2003-07-01,1750,2080,-330,N,2005-12-31,Completed,2004-09-30,Y,457,2003-06-01
Krishnagiri-Chennai(Pallikonda-Ranipet&Walahjapet Bypass) Project,Substantial Expansion,2110,Completed,"Engineering, Procurement & Construction",December 2005,Pallikonda,Tamil Nadu,01 Mar 2001,Date of announcement,2002-01-01,2110,1800,310,Y,2005-12-31,Completed,2003-12-31,Y,731,2001-10-01
Krishnagiri-Chennai(Vaniyambadi-Pallikonda) Highway Project,Substantial Expansion,2230,Completed,"Engineering, Procurement & Construction",December 2005,Pallikonda,Tamil Nadu,01 Jun 2001,Date of announcement,2002-01-01,2230,2040,190,Y,2005-12-31,Completed,2004-06-30,Y,549,2001-11-01
Nellore-Chennai(Tada-Chennai) Highway Project,Substantial Expansion,2330,Completed,"Engineering, Procurement & Construction",December 2005,Chennai,Tamil Nadu,01 Mar 2001,Date of announcement,2002-01-01,2330,1850,480,Y,2005-12-31,Completed,2004-03-31,Y,640,2001-06-01
Iccha-Vishakha(Icchapuram-Korlam) Highway Project,Renovation & Modernisation,1430.5,Completed,"Engineering, Procurement & Construction",March 2006,Icchapuram,Andhra Pradesh,01 Mar 2001,Date of announcement,2002-01-01,1430.5,1360,70.5,Y,2006-03-31,Completed,2005-12-31,Y,90,2001-06-30
Khurda Town-Icchapuram(Khurda-Sunakhala) Highway Project,Substantial Expansion,1896.8,Completed,"Engineering, Procurement & Construction",March 2006,Khurda,Odisha,15 Apr 2001,Date of announcement,2002-01-01,1896.8,2000,-103.2,N,2006-03-31,Completed,2004-06-30,Y,639,2001-05-15
Varanasi-Aurangabad(Mohania-Sasaram) Highway Project,Substantial Expansion,2305.5,Completed,"Engineering, Procurement & Construction",March 2006,Mohania,Bihar,31 Jan 2001,Date of announcement,2002-01-01,2305.5,2300,5.5,Y,2006-03-31,Completed,2004-12-31,Y,455,2001-02-07
Belgaum Bypass Project,Substantial Expansion,1260,Completed,"Engineering, Procurement & Construction",June 2006,Belgaum,Karnataka,01 Mar 2001,Date of announcement,2005-01-01,1260,800,460,Y,2006-06-30,Completed,2003-12-31,Y,912,2001-06-01
Kharagpur-Laxmanath (WB-IV) Highway Project,New Unit,4199.8,Completed,"Engineering, Procurement & Construction",June 2006,Kharagpur,West Bengal,31 Mar 2001,Date of announcement,2006-04-01,4199.8,2280,1919.8,Y,2006-06-30,Completed,2003-12-31,Y,912,2001-06-01
Kharagpur-Balasore (Bridges Section OR/WB-I) Highway Project,New Unit,810,Completed,"Engineering, Procurement & Construction",August 2006,Balasore,Odisha,01 Mar 2001,Date of announcement,2006-08-31,810,800,10,Y,2006-09-30,Initial completion date,2004-05-31,Y,852,2001-09-01
Pune-Satara (Katraj Realignment) Highway Project,New Unit,1462.5,Completed,"Engineering, Procurement & Construction",June 2006,Katraj,Maharashtra,21 Mar 2000,Date of announcement,2000-03-31,1462.5,1462.5,0,N,2006-09-30,Initial completion date,2004-06-30,Y,822,2002-11-01
Bhadrak-Chandikhole (OR-II) Highway Project,Substantial Expansion,3053,Completed,"Engineering, Procurement & Construction",May 2005,Bhadrak,Odisha,01 Nov 2000,Date of announcement,2002-01-01,3053,2840,213,Y,2006-09-30,Initial completion date,2003-10-31,Y,1065,2000-12-31
Khurda Town-Icchapuram(Sunakhala-Ganjam) Highway Project,Substantial Expansion,2250,Completed,"Engineering, Procurement & Construction",October 2006,Ganjam,Odisha,01 Jun 2001,Date of announcement,2002-01-01,2250,2200,50,Y,2006-10-31,Completed,2003-12-31,Y,1035,2001-06-30
Chilkaluripet-Nellore(Ongole-Kavali) Highway Project,Substantial Expansion,3214.1,Completed,"Engineering, Procurement & Construction",August 2005,Kavali,Andhra Pradesh,01 Mar 2001,Date of announcement,2002-01-01,3214.1,2760,454.1,Y,2006-12-31,Initial completion date,2003-12-31,Y,1096,2001-08-31
Mukarba Chowk-Mall Road (NS-3/DL) Highway Project,Substantial Expansion,575.3,Completed,"Engineering, Procurement & Construction",January 2007,Mukarba Chowk,NCT of Delhi,01 Mar 2001,Date of announcement,2002-01-01,575.3,520,55.3,Y,2007-01-31,Completed,2004-11-30,Y,792,2001-11-01
Sikandara-Bhaunti (TNHP/II-A) Highway Project,Substantial Expansion,3110.9,Completed,"Engineering, Procurement & Construction",March 2007,Bara,Uttar Pradesh,31 Jan 2001,Date of announcement,2007-01-01,3110.9,2890,220.9,Y,2007-03-31,Completed,2004-08-31,Y,942,2001-02-01
Baleshwar-Laxmannath Road Project,Substantial Expansion,3018,Completed,"Engineering, Procurement & Construction",May 2007,Baleshwar,Odisha,01 Jan 2001,Date of announcement,2007-04-01,3018,2580,438,Y,2007-05-30,Completed,2007-03-31,Y,60,2001-03-16
Iccha-Vishakha(Srikakulam-Champawati) Highway Project,Substantial Expansion,1719.7,Completed,"Engineering, Procurement & Construction",May 2007,Champawati,Andhra Pradesh,01 Mar 2001,Date of announcement,2002-01-01,1719.7,1920,-200.3,N,2007-05-31,Completed,2003-12-31,Y,1247,2001-06-01
Krishnagiri-Chennai(Poonamalee-Kanchipuram) Highway Project,Substantial Expansion,2441,Completed,"Engineering, Procurement & Construction",May 2007,Kanchipuram,Tamil Nadu,01 Mar 2001,Date of announcement,2007-04-01,2441,2080,361,Y,2007-05-31,Completed,2004-04-30,Y,1126,2001-07-01
Laxmannath-Baleshwar (OR-4) Highway Project,Substantial Expansion,2720,Completed,"Engineering, Procurement & Construction",May 2007,Baleshwar,Odisha,01 Jan 2001,Bids invited,2002-01-01,2720,2120,600,Y,2007-05-31,Completed,2003-11-30,Y,1278,2001-03-01
Mah/Kar Border-Haveri(Belgaum-Dharwad) Highway Project,Substantial Expansion,2790,Completed,"Engineering, Procurement & Construction",June 2007,Belgaum,Karnataka,01 Dec 2000,Date of announcement,2002-01-01,2790,3000,-210,N,2007-06-30,Completed,2003-08-31,Y,1399,2002-04-16
Aurangabad-Barwa-Adda(Aurangabad-Barachatti) Highway Project,Substantial Expansion,3204.2,Completed,"Engineering, Procurement & Construction",July 2007,Aurangabad,Bihar,01 Mar 2001,Date of announcement,2002-01-01,3204.2,2400,804.2,Y,2007-07-30,Completed,2004-12-31,Y,941,2001-09-01
Barachatti-Gorhar (GTRIP/V-B) Highway Project,New Unit,4527.1,Completed,"Engineering, Procurement & Construction",July 2007,Barachatti,Bihar,01 Jun 2001,Date of announcement,2002-01-01,4527.1,3200,1327.1,Y,2007-07-31,Completed,2004-11-30,Y,973,2002-02-28
Guna Bypass Project,New Unit,600,Completed,Build Operate Transfer,December 2007,Guna,Madhya Pradesh,01 Mar 2003,Date of announcement,2005-01-01,600,400,200,Y,2007-12-31,Initial completion date,2007-12-31,N,,2005-02-01
Mah/Kar Border-Haveri(Hubli-Haveri) Highway Project,Substantial Expansion,2801.9,Completed,"Engineering, Procurement & Construction",March 2008,Haveri,Karnataka,31 Mar 2001,Date of announcement,2007-10-31,2801.9,2560,241.9,Y,2008-03-31,Completed,2003-12-31,Y,1552,2001-06-01
Balasore-Chandikhole (Bridges section OR-V) Highway Project,New Unit,1550,Completed,"Engineering, Procurement & Construction",April 2008,Balasore,Odisha,01 Mar 2001,Date of announcement,2001-06-01,1550,1550,0,N,2008-04-30,Completed,2004-05-31,Y,1430,2001-08-01
Etawah-Rajpur (GTRIP/IC) Highway Project,New Unit,3484.4,Completed,"Engineering, Procurement & Construction",May 2008,Etawah,Uttar Pradesh,01 Mar 2002,Date of announcement,2002-03-01,3484.4,3484.4,0,N,2008-05-30,Completed,2004-12-31,Y,1246,2002-03-15
Chilkaluripet-Nellore(Chilkaluripet-Ongole) Highway Project,Substantial Expansion,3192.1,Completed,"Engineering, Procurement & Construction",September 2008,Chilkaluripet,Andhra Pradesh,01 Mar 2001,Date of announcement,2002-01-01,3192.1,2560,632.1,Y,2008-09-30,Completed,2003-12-31,Y,1735,2001-05-15
Shikohabad-Etawah (GTRIP/I-B) Highway Project,New Unit,2612.2,Completed,"Engineering, Procurement & Construction",September 2008,Etawah,Uttar Pradesh,01 Mar 2002,Date of announcement,2008-07-01,2612.2,2360,252.2,Y,2008-09-30,Completed,2008-08-31,Y,30,2002-03-12
RJ/MP Border-Kota (RJ-11) Highway Project,New Unit,3113.5,Completed,"Engineering, Procurement & Construction",October 2008,Kota,Rajasthan,25 Nov 2003,Date of announcement,2008-10-01,3113.5,3495.9,-382.4,N,2008-10-31,Completed,2008-09-03,Y,58,2005-05-30
Bhiladi-Jetpur NH-8B (Package 2) Project,Substantial Expansion,3998.9,Completed,"Engineering, Procurement & Construction",January 2009,Bhiladi,Gujarat,01 Nov 2002,Date of announcement,2009-01-01,3998.9,3000,998.9,Y,2009-02-01,Initial completion date,2009-01-31,N,,2005-02-15
Farukhnagar-Jadcheria Four Laning Highway Project,Substantial Expansion,5030,Completed,Build Operate Transfer,February 2009,Farukhnagar,Telangana,30 Jun 2004,Date of announcement,2004-06-30,5030,5030,0,N,2009-02-28,Initial completion date,2009-02-28,N,,2005-10-31
Ayodhya-Lucknow (LMNHP) Highway Project,Substantial Expansion,10450,Completed,"Engineering, Procurement & Construction",September 2011,Ayodhya,Uttar Pradesh,01 Dec 2003,Date of announcement,2011-02-28,10450,2120,8330,Y,2011-09-30,Initial completion date,2008-11-01,Y,1063,2004-12-30
Lucknow Bypass (EW-15/UP) Highway Project,New Unit,1117.8,Completed,Build Operate Transfer,May 2012,Lucknow,Uttar Pradesh,30 Apr 2000,Date of announcement,2001-09-01,1117.8,1117.8,0,N,2012-06-30,Initial completion date,2004-06-30,Y,2922,2001-09-01
Bhogpur-Mukerian (NH-1A) Four Laning Highway project,New Unit,3600,Completed,"Engineering, Procurement & Construction",January 2014,Bhogpur,Punjab,01 Jan 2010,Date of announcement,2010-01-01,3600,3600,0,N,2014-03-31,Initial completion date,2012-07-30,Y,609,2010-01-05
Pathankot-Jammu & Kashmir Border (NS-36/J&K) Highways project,New Unit,2450,Completed,"Engineering, Procurement & Construction",December 2014,Jammu,Jammu & Kashmir,31 Dec 2003,Date of announcement,2012-11-30,2450,977.3,1472.7,Y,2014-12-31,Completed,2010-12-31,Y,1461,2005-06-30
Rajmarg Choraha-Lahknadon (ADB-II/C-8) Highway Project,New Unit,3850,Completed,"Engineering, Procurement & Construction",January 2015,Lakhnadon,Madhya Pradesh,31 Dec 2003,Date of announcement,2014-07-31,3850,2510.3,1339.7,Y,2015-01-31,Completed,2011-06-30,Y,1311,2005-12-01
Upgradation of Multai-Seoni section & Narsinghpur-Saoner Section including Chhindwara Town Ring Road Project,Substantial Expansion,15601.5,Completed,"Engineering, Procurement & Construction",March 2015,Chhindwara,Madhya Pradesh,07 Feb 2010,Date of announcement,2012-03-31,15601.5,14122.7,1478.8,Y,2015-03-31,Completed,2013-06-30,Y,639,2010-10-14
Dharamtul-Sonapur (AS-19) Highway Project,Substantial Expansion,2860,Completed,"Engineering, Procurement & Construction",May 2015,Dharmtul,Assam,15 Dec 2004,Date of announcement,2014-08-30,2860,2000,860,Y,2015-05-31,Completed,2010-12-31,Y,1612,2005-04-30
